trial_index,start_x,start_y,target_x,target_y
0,400,750,400,50
1,400,750,400,50
2,400,750,400,50
3,400,750,400,50
4,400,750,400,50
5,400,750,400,50
6,400,750,400,50
7,400,750,400,50
8,400,750,400,50
9,400,750,400,50
10,400,750,400,50
11,400,750,400,50
12,400,750,400,50
13,400,750,400,50
14,400,750,400,50
15,400,750,400,50
16,400,750,400,50
17,400,750,400,50
18,400,750,400,50
19,400,750,400,50
20,400,750,400,50
21,400,750,400,50
22,400,750,400,50
23,400,750,400,50
24,400,750,400,50
25,400,750,400,50
26,400,750,400,50
27,400,750,400,50
28,400,750,400,50
29,400,750,400,50
30,400,750,400,50
31,400,750,400,50
32,400,750,400,50
33,400,750,400,50
34,400,750,400,50
35,400,750,400,50
36,400,750,400,50
37,400,750,400,50
38,400,750,400,50
39,400,750,400,50
40,400,750,400,50
41,400,750,400,50
42,400,750,400,50
43,400,750,400,50
44,400,750,400,50
45,400,750,400,50
46,400,750,400,50
47,400,750,400,50
48,400,750,400,50
49,400,750,400,50
50,400,750,400,50
51,400,750,400,50
52,400,750,400,50
53,400,750,400,50
54,400,750,400,50
55,400,750,400,50
56,400,750,400,50
57,400,750,400,50
58,400,750,400,50
59,400,750,400,50
60,400,750,400,50
61,400,750,400,50
62,400,750,400,50
63,400,750,400,50
64,400,750,400,50
65,400,750,400,50
66,400,750,400,50
67,400,750,400,50
68,400,750,400,50
69,400,750,400,50
70,400,750,400,50
71,400,750,400,50
72,400,750,400,50
73,400,750,400,50
74,400,750,400,50
75,400,750,400,50
76,400,750,400,50
77,400,750,400,50
78,400,750,400,50
79,400,750,400,50
80,400,750,400,50
81,400,750,400,50
82,400,750,400,50
83,400,750,400,50
84,400,750,400,50
85,400,750,400,50
86,400,750,400,50
87,400,750,400,50
88,400,750,400,50
89,400,750,400,50
90,400,750,400,50
91,400,750,400,50
92,400,750,400,50
93,400,750,400,50
94,400,750,400,50
95,400,750,400,50
96,400,750,400,50
97,400,750,400,50
98,400,750,400,50
99,400,750,400,50
100,400,750,400,50
101,400,750,400,50
102,400,750,400,50
103,400,750,400,50
104,400,750,400,50
105,400,750,400,50
106,400,750,400,50
107,400,750,400,50
108,400,750,400,50
109,400,750,400,50
110,400,750,400,50
111,400,750,400,50
112,400,750,400,50
113,400,750,400,50
114,400,750,400,50
115,400,750,400,50
116,400,750,400,50
117,400,750,400,50
118,400,750,400,50
119,400,750,400,50
120,400,750,400,50
121,400,750,400,50
122,400,750,400,50
123,400,750,400,50
124,400,750,400,50
125,400,750,400,50
126,400,750,400,50
127,400,750,400,50
128,400,750,400,50
129,400,750,400,50
130,400,750,400,50
131,400,750,400,50
132,400,750,400,50
133,400,750,400,50
134,400,750,400,50
135,400,750,400,50
136,400,750,400,50
137,400,750,400,50
138,400,750,400,50
139,400,750,400,50
140,400,750,400,50
141,400,750,400,50
142,400,750,400,50
143,400,750,400,50
144,400,750,400,50
145,400,750,400,50
146,400,750,400,50
147,400,750,400,50
148,400,750,400,50
149,400,750,400,50
150,400,750,400,50
151,400,750,400,50
152,400,750,400,50
153,400,750,400,50
154,400,750,400,50
155,400,750,400,50
156,400,750,400,50
157,400,750,400,50
158,400,750,400,50
159,400,750,400,50
160,400,750,400,50
161,400,750,400,50
162,400,750,400,50
163,400,750,400,50
164,400,750,400,50
165,400,750,400,50
166,400,750,400,50
167,400,750,400,50
168,400,750,400,50
169,400,750,400,50
170,400,750,400,50
171,400,750,400,50
172,400,750,400,50
173,400,750,400,50
174,400,750,400,50
175,400,750,400,50
176,400,750,400,50
177,400,750,400,50
178,400,750,400,50
179,400,750,400,50
180,400,750,400,50
181,400,750,400,50
182,400,750,400,50
183,400,750,400,50
184,400,750,400,50
185,400,750,400,50
186,400,750,400,50
187,400,750,400,50
188,400,750,400,50
189,400,750,400,50
190,400,750,400,50
191,400,750,400,50
192,400,750,400,50
193,400,750,400,50
194,400,750,400,50
195,400,750,400,50
196,400,750,400,50
197,400,750,400,50
198,400,750,400,50
199,400,750,400,50
200,400,750,400,50
201,400,750,400,50
202,400,750,400,50
203,400,750,400,50
204,400,750,400,50
205,400,750,400,50
206,400,750,400,50
207,400,750,400,50
208,400,750,400,50
209,400,750,400,50
210,400,750,400,50
211,400,750,400,50
212,400,750,400,50
213,400,750,400,50
214,400,750,400,50
215,400,750,400,50
216,400,750,400,50
217,400,750,400,50
218,400,750,400,50
219,400,750,400,50
220,400,750,400,50
221,400,750,400,50
222,400,750,400,50
223,400,750,400,50
224,400,750,400,50
225,400,750,400,50
226,400,750,400,50
227,400,750,400,50
228,400,750,400,50
229,400,750,400,50
230,400,750,400,50
231,400,750,400,50
232,400,750,400,50
233,400,750,400,50
234,400,750,400,50
235,400,750,400,50
236,400,750,400,50
237,400,750,400,50
238,400,750,400,50
239,400,750,400,50
240,400,750,400,50
241,400,750,400,50
242,400,750,400,50
243,400,750,400,50
244,400,750,400,50
245,400,750,400,50
246,400,750,400,50
247,400,750,400,50
248,400,750,400,50
249,400,750,400,50
250,400,750,400,50
251,400,750,400,50
252,400,750,400,50
253,400,750,400,50
254,400,750,400,50
255,400,750,400,50
256,400,750,400,50
257,400,750,400,50
258,400,750,400,50
259,400,750,400,50
260,400,750,400,50
261,400,750,400,50
262,400,750,400,50
263,400,750,400,50
264,400,750,400,50
265,400,750,400,50
266,400,750,400,50
267,400,750,400,50
268,400,750,400,50
269,400,750,400,50
270,400,750,400,50
271,400,750,400,50
272,400,750,400,50
273,400,750,400,50
274,400,750,400,50
275,400,750,400,50
276,400,750,400,50
277,400,750,400,50
278,400,750,400,50
279,400,750,400,50
280,400,750,400,50
281,400,750,400,50
282,400,750,400,50
283,400,750,400,50
284,400,750,400,50
285,400,750,400,50
286,400,750,400,50
287,400,750,400,50
288,400,750,400,50
289,400,750,400,50
290,400,750,400,50
291,400,750,400,50
292,400,750,400,50
293,400,750,400,50
294,400,750,400,50
295,400,750,400,50
296,400,750,400,50
297,400,750,400,50
298,400,750,400,50
299,400,750,400,50
300,400,750,400,50
301,400,750,400,50
302,400,750,400,50
303,400,750,400,50
304,400,750,400,50
305,400,750,400,50
306,400,750,400,50
307,400,750,400,50
308,400,750,400,50
309,400,750,400,50
310,400,750,400,50
311,400,750,400,50
312,400,750,400,50
313,400,750,400,50
314,400,750,400,50
315,400,750,400,50
316,400,750,400,50
317,400,750,400,50
318,400,750,400,50
319,400,750,400,50
320,400,750,400,50
321,400,750,400,50
